692577824	0	total (QC-passed reads + QC-failed reads)
692577824	0	primary
0	0	secondary
0	0	supplementary
32542118	0	duplicates
32542118	0	primary duplicates
692577824	0	mapped
100.00%	N/A	mapped %
692577824	0	primary mapped
100.00%	N/A	primary mapped %
692577824	0	paired in sequencing
346288912	0	read1
346288912	0	read2
692577824	0	properly paired
100.00%	N/A	properly paired %
692577824	0	with itself and mate mapped
0	0	singletons
0.00%	N/A	singletons %
0	0	with mate mapped to a different chr
0	0	with mate mapped to a different chr (mapQ>=5)
