629582700	0	total (QC-passed reads + QC-failed reads)
629582700	0	primary
0	0	secondary
0	0	supplementary
58641018	0	duplicates
58641018	0	primary duplicates
629582700	0	mapped
100.00%	N/A	mapped %
629582700	0	primary mapped
100.00%	N/A	primary mapped %
629582700	0	paired in sequencing
314791350	0	read1
314791350	0	read2
629582700	0	properly paired
100.00%	N/A	properly paired %
629582700	0	with itself and mate mapped
0	0	singletons
0.00%	N/A	singletons %
0	0	with mate mapped to a different chr
0	0	with mate mapped to a different chr (mapQ>=5)
